OLD_URL,NEW_URL
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-hatsglovesandaccessories-fleeceandsoftshellgloves,http://209.208.39.58:8999/kids-accessories
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-hatsglovesandaccessories-skiandsnowboardglovesandmittens,http://209.208.39.58:8999/kids-accessories
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-hatsglovesandaccessories-summerhats,http://209.208.39.58:8999/kids-accessories
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-hatsglovesandaccessories-winterhats,http://209.208.39.58:8999/kids-accessories
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-hatsglovesandaccessories/brand/OBERMEYER,http://209.208.39.58:8999/kids-accessories
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-jackets,http://209.208.39.58:8999/kids-jackets
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-jackets-fleecejackets,https://www.pedigreeskishop.com/kids-jackets-fleece
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-jackets-fleecejackets/brand/PATAGONIA,https://www.pedigreeskishop.com/kids-jackets-fleece
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-jackets-insulatedjackets,https://www.pedigreeskishop.com/kids-jackets-insulators
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-onepieceskisuits,http://209.208.39.58:8999/kids-suits
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-pants,http://209.208.39.58:8999/kids-pants
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-pants-bibs,https://www.pedigreeskishop.com/kids-pants-bibs
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-pants-fleecepants,https://www.pedigreeskishop.com/kids-vests-fleece
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-pants-insulatedpants,https://www.pedigreeskishop.com/kids-pants-insulated
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-shirts,http://209.208.39.58:8999/kids-shirts
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-shirts-rashguards,http://209.208.39.58:8999/kids-shirts
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-shirts-tennisshirts,https://www.pedigreeskishop.com/kids-shirts-tennis-crew
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-shirts-turtlenecks,http://209.208.39.58:8999/kids-shirts
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-shorts,http://209.208.39.58:8999/kids-shorts
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-shorts-boardshorts,http://209.208.39.58:8999/kids-shorts
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-shorts-tennisshorts,https://www.pedigreeskishop.com/kids-shorts-tennis
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-skirtsanddresses,https://www.pedigreeskishop.com/tennis-girls-clothing-dresses
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-skirtsanddresses-tennis,https://www.pedigreeskishop.com/kids-dresses-tennis
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-sweatersandsweatshirts,https://www.pedigreeskishop.com/kids-shirts-sweatshirts
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-swimwear,http://209.208.39.58:8999/swim
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-swimwear-boardshorts,http://209.208.39.58:8999/swim
https://www.pedigreeskishop.com/category.cfm/ski/kids-toddler-swimwear-rashguards,http://209.208.39.58:8999/swim
